Item Name,Vendor,Justification,Link,Unit Price,Quantity,Subtotal
"54mm Nozzle, 0.455"" Throat",RCS,Rocket Motor Nozzle,https://www.rocketmotorparts.com/product/54mm-nozzle-0-455%22-throat,36.5,1,36.5
54mm Propellant X™ Propellant Grain,RCS,Rocket Motor Propellant,https://www.rocketmotorparts.com/details/p1577809_18245096.aspx,68.99,2,137.98
"Buna-N O-ring, 1.875"" O.D.",RCS,Avionics Bay/Aft End O Rings,https://www.rocketmotorparts.com/details/p1577809_19152682.aspx,0.35,2,0.7
"Buna-N O-ring, 2"" O.D.",RCS,Forward Closure O Rings,https://www.rocketmotorparts.com/details/p1577809_7801660.aspx,0.65,5,3.25
Electrical-Insulating Garolite XX Tube,McMaster,Rocket Motor Insulation,https://www.mcmaster.com/8527K247/,27.71,1,27.71
"Multipurpose 6061 Aluminum 2"" Diameter Disc
",McMaster,Forward Closure Stock,https://www.mcmaster.com/1610T15-1610T116/,15.97,1,15.97
"Multipurpose 6061 Aluminum Round Tube 1/4"" Wall Thickness, 2-1/4"" OD",McMaster,Forward Retention Ring Stock,https://www.mcmaster.com/9056K16-9056K165/,24.19,1,24.19
Easy-to-Machine Garolite LE Sheet,McMaster,Fin Leading Edge Protection,https://www.mcmaster.com/6842K63/,19.59,1,19.59
Fin Order,CNCMadness,Carbon Fiber/G11 Fins,QUOTE,QUOTE,1,QUOTE
,,,,,,
,,,,,,Total Cost
,,,,,,265.89


